stationId,stationName,latitude,longitude
ST-413,230. 영등포구청역 1번출구,37.52463531,126.89621735
ST-280,231. 남부고용노동지청 남측,37.52450562,126.89182281
ST-281,232. 양평우림 이비즈센타 앞,37.52565002,126.88781738
ST-282,233. 양평1동 YP센터 앞,37.52848816,126.89164734
ST-284,235. 신길동 우리은행 옆,37.50456619,126.91023254
ST-285,236. 문래동자이아파트 앞,37.51615524,126.89461517
ST-286,237. 보라매 두산위브 건너편,37.49651337,126.91480255
ST-287,238. 제2구민체육센타 앞,37.52638626,126.90275574
ST-288,239. 유스호스텔 앞,37.52585220,126.90328217
ST-289,240. 문래역 4번출구 앞,37.51873779,126.89557648
ST-290,241. 신길우성1차아파트 앞 공원,37.50501633,126.89853668
ST-291,242. 신길선원가와인아파트 앞,37.51093292,126.91022491
ST-292,243. 이앤씨드림타워 앞,37.52708435,126.89138031
ST-293,244. 영등포삼환아파트 앞,37.53007889,126.90570831
ST-294,245. 삼성생명 당산사옥 앞,37.52826309,126.89662933
ST-295,247. 당산역 10번출구 앞,37.53342056,126.90223694
ST-296,248. 초원아파트 앞,37.53105545,126.92420959
ST-297,249. 여의도중학교 옆,37.52434921,126.93611908
ST-298,250. 대림아파트 사거리,37.50764084,126.92308044
ST-299,251. 서울지방병무청 버스정류장,37.50449371,126.92195129
ST-300,252. 보라매역4번출구,37.49982834,126.91994476
ST-302,254. 도림신협 앞,37.50380325,126.90341949
ST-303,255. 도림사거리,37.50657272,126.90113068
ST-304,256. 동아에코빌입구,37.50947571,126.89929962
ST-306,258. 신길역3번출구,37.51769257,126.91429901
ST-307,259. 대방역6번출구,37.51359177,126.92593384
ST-414,260. 여의도 마리나선착장 앞,37.53365707,126.91216278
ST-417,263. 근로자회관 사거리,37.51715088,126.88862610
ST-418,264. 교보생명보험 앞,37.52193069,126.89161682
ST-419,265. 영등포유통상가 사거리,37.52113342,126.89653778
ST-420,266. 영등포청과시장 사거리,37.52029419,126.90119171
ST-421,267. 삼성화재 사옥 옆,37.53596115,126.89830017
ST-422,268. 그랜드컨벤션센터 앞,37.53471756,126.90000153
ST-424,270. 증권거래소후문교차로,37.52234268,126.92710114
ST-425,271. 샛강생태공원방문자센터 앞,37.51896286,126.92161560
ST-426,272. 당산육갑문,37.53533936,126.90367889
ST-1320,275. 신동아아파트,37.52269745,126.88568115
ST-1321,276. 영등포로터리2,37.51828384,126.91263580
ST-1323,278. 쌍용플레티넘오피스텔,37.50793076,126.89523315
ST-1353,279. 영등포 푸르지오 아파트 B,37.51322937,126.90446472
ST-1539,280. 양평동6차현대아파트 앞,37.53210068,126.89443970
ST-1540,281. 대림신동아아파트 앞,37.49824142,126.89398193
ST-1541,282. 신한은행 대림동지점,37.48752975,126.90487671
ST-1649,283. 아크로타워 스퀘어(영등포시장),37.52251816,126.90721893
ST-1650,284. 센트럴 푸르지오 시티 앞,37.51821136,126.90222931
ST-1651,285. 콤텍시스템 앞,37.49985886,126.89723969
ST-1652,286. 우성아파트 교차로,37.49457169,126.89974976
ST-1653,287. 영등포전화국사거리 (서강어린이공원),37.52576828,126.90573883
ST-1677,288. 쌍용예가(구청별관),37.52809906,126.89338684
ST-1697,289. 대림3동사거리,37.49980927,126.89800262
ST-1698,290. 새말소공원,37.53150940,126.89782715
ST-1699,291. 문래동 하이테크 시티,37.51412964,126.89939117
ST-1700,292. 영일 어린이공원,37.51012039,126.90406799
ST-1701,293. 충북 미래관,37.52917099,126.90757751
ST-1967,295.영등포공원 분수대 앞,37.51481247,126.91170502
ST-1968,296.KT플라자 영등포점,37.52630234,126.90538025
ST-1969,297.국회3문,37.52863693,126.91267395
ST-1970,298.KBS 연구동 건너편,37.52750778,126.91429901
ST-1971,299.여의도 순복음교회,37.53179169,126.92245483
ST-116,300. 정동사거리,37.56805038,126.96923065
ST-117,301. 경복궁역 7번출구 앞,37.57579422,126.97145081
ST-118,302. 경복궁역 4번출구 뒤,37.57594681,126.97406006
ST-119,303. 광화문역 1번출구 앞,37.57176971,126.97466278
ST-121,305. 종로구청 옆,37.57255936,126.97833252
ST-123,307. 서울역사박물관 앞,37.56999969,126.97109985
ST-124,308. 광화문 S타워 앞,37.56996918,126.97393799
ST-125,309. 광화문역 6번출구 옆 B,37.56996155,126.97615814
ST-126,310. 청계광장 옆,37.56887817,126.97747040
ST-130,314. 국립현대미술관,37.57970810,126.98085785
ST-132,316. 종각역 1번출구 앞,37.57039642,126.98178864
ST-134,318. 광교사거리 남측,37.56863403,126.98231506
ST-136,320. 을지로입구역 4번출구 앞,37.56622314,126.98358917
ST-137,321. KEB 하나금융그룹 명동사옥 옆,37.56546402,126.98413849
ST-138,322. 명동성당 앞,37.56447601,126.98696899
ST-140,324. 신세계백화점 본점 앞,37.56134415,126.98050690
ST-142,326. 안국역 5번출구 앞,37.57624054,126.98616028
ST-143,327. 낙원상가 옆,37.57335663,126.98746490
ST-144,328. 탑골공원 앞,37.57039642,126.98818970
ST-145,329. 청계2가 사거리 옆,37.56848526,126.98788452
ST-147,331. 을지로2가 사거리 북측,37.56638336,126.98720551
ST-148,332. 을지로2가 사거리 남측,37.56599045,126.98779297
ST-150,334. 종로3가역 2번출구 뒤,37.57059860,126.99179077
ST-151,335. 종로3가역 15번출구 앞,37.57019424,126.99165344
ST-152,336. 충무로역 6번출구 앞,37.56144714,126.99311066
ST-153,337. 창경궁 입구,37.57897949,126.99647522
ST-154,338. 세운스퀘어 앞,37.57095718,126.99712372
ST-155,339. 종로4가 사거리,37.57106781,126.99819183
ST-156,340. 혜화동 로터리,37.58562851,127.00067902
ST-157,341. 혜화역 3번출구 뒤,37.58156967,127.00178528
ST-158,342. 대학로 마로니에공원,37.57978439,127.00253296
ST-159,343. 힐스테이트창경궁 아파트 앞,37.57561111,127.00469971
ST-160,344. 성균관대 E하우스 앞,37.57419968,127.00659180
ST-161,345. 서울보증보험본사 앞,37.57330704,127.00070953
ST-162,346. 맥스타일 앞,37.56896210,127.01014709
ST-163,347. 동대문역사문화공원역 9번출구 앞,37.56533051,127.00784302
ST-183,348. 독립문역 사거리,37.57202911,126.96078491
ST-165,349. 어린이도서관,37.57633209,126.96858978
ST-167,351. 청운초교 앞 삼거리,37.58496857,126.97041321
ST-168,352. 중앙고입구 삼거리,37.58341599,126.98523712
